Description ,Knowledge,Test ,With Calc or No Calc,Question link,Diff,Type,Q#,Catagory,Sub-catagory,MC,,Catagory ,subcatagory ,Rank,,
Interpreting a graph,know how to label graphs correctly,Test 1,W,Question 7,1,Charts,7,Problem Solving and Data Analysis,Key Features of Graphs,C,,Problem Solving and Data Analysis,"Ratios, rates, proportions",16,,Solving Equation/Expression
Create fractions based on points of a graph,Finding valus from points on a graph and then being able to create ratios/fractions,Test 1,W,Question 33,1,Charts,33,Problem Solving and Data Analysis,"Ratios, rates, proportions",0.625,,Heart of Algebra,Solving Systems of Linear Equations,13,,Word Problem
Interpreting a graph,How to calculate maximum values given a graph,Test 3,W,Question 1,1,Charts,1,Problem Solving and Data Analysis,Key Features of Graphs,C,,Problem Solving and Data Analysis,Table Data,11,,Geometry
Solving for a variable and then an equation,basic understanding of linear functions,Test 3,W,Question 2,1,Charts,2,Heart of Algebra,Solving Systems of Linear Equations,D,,Heart of Algebra,Linear Function Word Problems,10,,Graphs
Interpreting a graph,"Slope, can analyse a line and points on a graph",Test 3,W,Question 3,1,Charts,3,Problem Solving and Data Analysis,Data Inferences,C,,Problem Solving and Data Analysis,Units,9,,Charts
Convert units,Understand units and how to convert them,Test 3,W,Question 10,1,Charts,10,Problem Solving and Data Analysis,Units,D,,Passport to Advanced Math,Function Notation,9,,
Getting the mean based off a table,know how to calculate mean,Test 3,W,Question 32,1,Charts,32,Problem Solving and Data Analysis,Table Data,58.6,,Passport to Advanced Math,Quadratic and Exponential Word Problems,8,,
Determining proportions based on tables,"How to calculate proportions.  Be able to work a table, Determining fractions",Test 4,W,Question 7,1,Charts,7,Problem Solving and Data Analysis,Table Data,A,,Passport to Advanced Math,Solving Quadratic Equations,8,,
Determining Probabilities,Reading a table.  Knowing how to calculate probabilities given a table,Test 4,W,Question 9,1,Charts,9,Problem Solving and Data Analysis,Table Data,B,,Heart of Algebra,Interpreting Linear Functions,8,,
Interpreting a graph,"Slope, can analyse a line and points on a graph",Test 4,W,Question 10,1,Charts,10,Problem Solving and Data Analysis,Data Inferences,A,,Heart of Algebra,Solving Linear Equations,8,,
